,key,title,tip,tip2,_EOF
0,sweets,сладкие вещи,Сладость сербской кухни обычно сильная и просто сладкая. <br>Кроме того﹐ здесь представлен широкий ассортимент напитков и сладостей﹐ приготовленных из местных ягод﹐ а в последние годы увеличивается количество модных кафе и магазинов в парижском стиле﹐ торгующих шоколадом. <br><br>Шизуки любит сладкое. Мне особенно нравится классическое балканское печенье под названием «плазма». <br>Когда вы становитесь таким же фанатиком плазмы﹐ как он﹐ вы намазываете маслом хлеб и посыпаете его плазмой﹐ чевапи и салатом. <br>Как сахар в соусе﹐ когда вы посыпаете печенье чем-то соленым﹐ вкусы дополняют друг друга.,,_EOF
1,vojvodina,Воеводина,Воеводина — автономная область на севере Сербии. <br>Столица – Нови-Сад. <br>Место рождения Деяна (подробности в работе не разглашаются в целях защиты конфиденциальности﹐ но он из Суботицы﹐ второго по величине города Воеводины). <br>Раньше здесь находился филиал «Золотой Зари». <br>Он известен как город﹐ где сосуществуют многие этнические группы и имеется шесть официальных языков. Он характеризуется тем﹐ что многие его жители многоязычны. <br><br><img src='./data/image/Voj.png' style='height:250px;float:right'>,,_EOF
2,eurocrem,евро крем,Еврокрем — шоколадная паста﹐ производимая сербской компанией Swiss Lion. <br>Крем﹐ представляющий собой сочетание фундука и белого шоколада﹐ что делает его идеальным дополнением к Nutella в Сербии. <br>Конечно﹐ само собой разумеется﹐ что «Евро сливки» уверенно выигрывают по вкусовым качествам﹐ экономичности и популярности. <br>Еврокрем можно купить ведрами﹐ а не в маленьких баночках. <br>Если вы хотите насладиться еврокремом на ходу﹐ вам подойдут небольшие упаковки по 1 динар. <br>Дети Вулкана растут﹐ питаясь еврокремом.,,_EOF
3,shadow,Тень (способность),Где есть свет﹐ там есть тень. Тени создаются﹐ когда объекты блокируют свет. <br>Здесь я объясню способность «Тени». <br>Эта способность по сути представляет собой создание собственного клона﹐ но﹐ как следует из названия﹐ она имеет свойство следовать за собой всю оставшуюся жизнь. Поэтому необходимо принять такие меры﹐ как прием контрольных препаратов﹐ чтобы прервать способность. <br>Личность и пол Каге поменялись местами. Во время использования этой способности вы не сможете ходить под солнцем. <br>Если способность не прерывается примерно в течение месяца﹐ тень материализуется как есть﹐ и человек﹐ использующий способность﹐ останется активным до конца своей жизни.,,_EOF
4,trgrepublike,Площадь Республики,Площадь в Старом Граде (Старом городе) в центре Белграда. <br>Особенна статуя Михаила Обреновича в центре площади. Рядом с Национальным музеем и театрами. <br>Он соединен с улицей Михайло﹐ самой оживленной торговой улицей Белграда. <br>Это была сцена для исторических моментов﹐ включая крупномасштабные демонстрации 1991 года.,,_EOF
5,goulash,гуляш/гуляш,Блюдо венгерского происхождения. В переводе с венгерского означает «пастух». <br>В Европе существуют различные варианты. <br>Густое рагу﹐ приготовленное путем разрезания говядины или телятины на небольшие кусочки﹐ их подрумянивания﹐ а затем варки с салом﹐ луком﹐ зеленым перцем и картофелем. <br>Вкусно есть как есть﹐ так и с рисом﹐ картофельным пюре﹐ хлебом или макаронами. <br>Это типичное блюдо Венгрии﹐ и в эпоху социализма его даже высмеивали как «коммунистический гуляш». <br><br>Его также широко едят в Сербии﹐ оно отличается богатым вкусом и состоит в основном из мяса. Шизуки﹐ родом из центральной Сербии﹐ предпочитает блюда﹐ в которых в основном есть мясо и очень мало овощей. <br>В родном городе Деяна﹐ Воеводине﹐ люди едят традиционную еду под названием камани-гуляш﹐ ингредиенты которой помещаются в большую кастрюлю и варятся на открытом огне.,,_EOF
6,ownpolice,охранник,Общее имя охранника﹐ принадлежащего Золотой Заре. Это как армия с талантливой сербской элитой. <br>Помимо обеспечения безопасности﹐ они также выполняют грязную работу﹐ которая не разглашается общественности. В последнее время они прилагают много усилий для охоты на людей со способностями﹐ а иногда и для поиска людей с большими способностями﹐ чтобы они присоединились к силам безопасности своей компании.,,_EOF
7,gd,золотой рассвет,"Крупная компания﹐ которая доминирует в Белграде. Широко известный как GD. <br>Изначально являясь фармацевтической компанией﹐ компания добилась быстрого роста с развитием Белграда. В настоящее время у него есть подразделения в различных областях﹐ и он планирует оказывать финансовую поддержку развитию метрополитена. <br>Почему-то они утверждают﹐ что люди со способностями - это ""собственность компании""﹐ и пытаются взять в свои руки всех людей в стране.",,_EOF
8,children,ребенок,Дети и дети — это существа﹐ которых воспитывают люди﹐ называемые родителями. <br>По словам Филиппа Ариеса﹐ до Средневековья не существовало понятия «ребенок»﹐ и дети обычно работали как маленькие взрослые. Если вы посмотрите на портреты детей Средневековья﹐ то увидите﹐ что они были одеты в тяжелые платья и костюмы﹐ не учитывавшие активность ребенка. <br>Сегодня во всем мире стало общеизвестным﹐ что детей воспитывают с большей любовью и защитой﹐ чем раньше. <br>Конечно﹐ дети белградского метрополитена в детстве жили под защитой. <br><br>Это также слово﹐ которое относится к человеку с молодым умственным возрастом. <br>Например﹐ он отказывается от помощи окружающих и бросается не в ту сторону﹐ поле его зрения крайне узко﹐ и он не способен справиться с непредвиденными ситуациями из-за отсутствия опыта. <br><br>Иногда относится к несовершеннолетним. Из-за упомянутых выше недостатков дети этого возраста особенно подвержены милости судьбы. И то﹐ что вы испытаете в этот период﹐ может остаться с вами на всю оставшуюся жизнь.,,_EOF
9,psychokinesys,Психокинез (способность),Тип сверхъестественной силы﹐ позволяющей перемещать предметы силой мысли﹐ не прикасаясь к ним. <br>Психокинез с терминами «психо» и «кинез». <br>В Японии оно стало широко известно благодаря «сгибанию ложек» Ури Геллера. <br>Исторически его критиковали за отсутствие контролируемых экспериментов и невоспроизводимость. <br>На самом деле научных доказательств того﹐ что психокинез действительно существует﹐ не существует﹐ и он считается лженаукой﹐ поскольку его невозможно доказать. <br>Но сербские экстрасенсы делают это возможным. <br>Психокинез в произведении состоит из четырех движений: перемещения﹐ скручивания﹐ растяжения и плавания предметов. <br>При правильном использовании он может разрушить твердые объекты﹐ такие как бетон и стекло﹐ но это достигается путем приложения чрезмерной силы к одному концу объекта и его скручивания или растяжения. <br>После использования способности﹐ как и в случае с законом сохранения энергии﹐ позади и вокруг человека﹐ обладающего способностью﹐ останутся большие следы столкновения. <br><br>Деян использует его в своей работе. <br>У него превосходное боевое чутье﹐ но поскольку его способности мощны и просты в использовании﹐ он часто бессознательно раскрывает свои способности и выходит из-под контроля.,,_EOF
10,psychometry,Психометрия (способность),Способность читать воспоминания и остаточные мысли о вещах﹐ к которым вы прикасаетесь. По этой причине они часто сотрудничают с расследованиями преступлений﹐ например﹐ разыскивая пропавших без вести людей или рисуя лица преступников. <br>Однако многие традиционные самопровозглашенные «психометристы» потерпели неудачу в многочисленных расследованиях﹐ и даже если они действительно найдут факт﹐ истина может уже быть на грани открытия полицией﹐ или могут возникнуть сомнения в ее достоверности. <br><br>Вероника использует его в работе. Конечно﹐ психометрия﹐ которую она использует﹐ уникальна. <br>Остаточные мысли об объекте можно однозначно интерпретировать как мысли человека﹐ который последний раз к нему прикасался. Воспоминания﹐ прошедшие несколько дней или не очень важные﹐ не остаются мыслями. Однако то﹐ что хорошо запомнилось﹐ можно прочитать.,,_EOF
